1	t	9 8 
1	b	46 58 
1	u	46 
2	t	20 10 
3	t	11 4 12 
3	b	23 22 
4	t	3 13 
5	t	15 16 
6	t	29 7 
7	t	6 17 
7	b	42 
8	t	1 18 19 
9	t	1 19 20 
10	t	2 11 21 34 
11	t	3 10 22 
12	t	3 23 
13	t	4 23 24
13	b	23 14 52 
13	u	46 67 89 
14	t	13 15 25 
14	b	13 15 
15	t	5 14 16 26 28 
15	b	14 41 29 
16	t	5 15 28 29 
17	t	7 29 30 
18	t	8 31 43 
19	t	8 9 32 
20	t	2 9 33 
21	t	10 33 
22	t	11 23 34 35 
22	b	3 23 34 65 
23	t	12 13 22 37 
23	b	3 13 22 67 
24	t	37 38 
25	t	14 38 39 
26	t	15 27 39 
27	t	26 28 40 
28	t	15 16 27 41 
29	t	6 16 17 41 42 
29	b	15 41 42 55 
30	t	17 42 
31	t	18 43 44 
32	t	19 33 44 45 
33	t	20 21 32 46 
34	t	10 22 47 48 
34	b	22 46 63 
35	t	22 36 48 65 
36	t	35 37 49 
37	t	23 24 36 50 
38	t	24 25 50 51 
39	t	25 26 51 52 
40	t	27 41 52 53 
41	t	28 29 40 54 
41	b	15 29 52 87 
42	t	29 30 56 72 
42	b	7 29 72 
43	t	18 31 57 
44	t	31 32 58 
45	t	32 46 58 59 60 
46	t	33 45 47 61 
46	b	1 34 58 78 
46	u	1 13 74 79 
47	t	34 46 62 
48	t	34 35 62 63 
49	t	36 50 66 
50	t	37 38 49 67 
51	t	38 39 52 67 68 
52	t	39 40 51 69 
52	b	13 41 67 86 
53	t	40 54 69 
54	t	41 53 55 70 
55	t	54 71 
55	b	29 89 
56	t	42 91 
57	t	43 58 73 
58	t	44 45 57 59 74 
58	b	1 46 74 77 
59	t	45 58 75 76 
60	t	45 61 76 
61	t	46 60 62 76 78 
62	t	47 48 61 79 
63	t	48 64 79 80 
63	b	34 65 79 100 
64	t	63 65 81 
65	t	35 64 66 82 
65	b	22 63 67 82 
66	t	49 65 67 82 
67	t	50 51 66 68 84 
67	b	23 52 65 82 102 
67	u	13 79 89 111 
68	t	51 67 69 85 
69	t	52 53 68 86 
70	t	54 71 87 
71	t	55 70 72 89 
72	t	42 71 90 91 
72	b	42 105 107 
73	t	57 74 92 
74	t	58 73 75 92 
74	b	58 94 
74	u	46 
75	t	59 74 94 
76	t	59 60 61 77 
77	t	76 78 95 96 
77	b	58 78 94 124 
78	t	61 77 79 97 
78	b	46 77 79 
79	t	62 63 78 98 
79	b	63 78 
79	u	46 67 93 111 
80	t	63 99 100 
81	t	64 82 100 
82	t	65 66 81 101 
82	b	65 67 100 140 
83	t	101 102 
84	t	67 85 
85	t	68 84 103 
86	t	69 103 104 
86	b	52 87 102 116 
87	t	70 88 
87	b	41 86 105 
88	t	87 89 117 
89	t	71 88 105 
89	b	55 105 
89	u	13 67 128 140 
90	t	72 91 105 
91	t	56 72 90 105 107 
92	t	73 74 93 
93	t	92 94 
93	b	94 
93	u	79 
