RUN	RecordedSimulation	recordedsimulation	1621010070934	First run with postgresql	3.5.1
USER	RecordedSimulation	START	1621010072167
REQUEST		init_5_player	1621010072200	1621010072556	OK	 
REQUEST		set_name_1	1621010074584	1621010074600	OK	 
REQUEST		set_name_2	1621010076616	1621010076622	OK	 
REQUEST		set_name_3	1621010078626	1621010078635	OK	 
REQUEST		set_name_4	1621010080640	1621010080646	OK	 
REQUEST		set_color_1	1621010082649	1621010082660	OK	 
REQUEST		set_color_2	1621010084670	1621010084678	OK	 
REQUEST		set_color_3	1621010086685	1621010086694	OK	 
REQUEST		set_color_4	1621010088711	1621010088720	OK	 
REQUEST		start_game	1621010090726	1621010090732	OK	 
REQUEST		move_mrx_65_taxi	1621010092743	1621010092770	OK	 
REQUEST		move_dt1_67_underground	1621010094785	1621010094799	OK	 
REQUEST		move_dt2_27_taxi	1621010096805	1621010096816	OK	 
REQUEST		move_dt3_55_bus	1621010098821	1621010098830	OK	 
REQUEST		move_dt4_48_taxi	1621010100847	1621010100858	OK	 
REQUEST		save	1621010103866	1621010104716	OK	 
REQUEST		load	1621010107732	1621010108130	OK	 
USER	RecordedSimulation	END	1621010108132
