1284 		 880
1984 		 302
1618 		 822
1122 		 1238
1700 		 370
972 		 1380
272 		 246
1500 		 1064
842 		 504
924 		 1646
1458 		 230
1764 		 802
1182 		 1568
2102 		 1328
2178 		 1260
2034 		 1466
1674 		 184
240 		 1818
1272 		 528
348 		 350
416 		 764
1000 		 978
1736 		 1120
380 		 1480
884 		 1442
1520 		 806
2068 		 562
892 		 810
1874 		 238
502 		 688
2448 		 1616
2566 		 350
598 		 674
1008 		 470
1552 		 1612
170 		 1498
388 		 914
1192 		 750
1392 		 908
1708 		 548
2162 		 1918
2590 		 1484
462 		 250
570 		 764
1772 		 1426
1912 		 1354
2056 		 118
310 		 930
1142 		 108
1752 		 418
1804 		 1222
2076 		 666
2494 		 466
496 		 1546
1702 		 1312
1386 		 428
1442 		 1596
2090 		 836
1774 		 1932
2564 		 1708
470 		 1458
1176 		 1740
1194 		 518
1218 		 972
1908 		 788
2036 		 464
1370 		 1706
1642 		 1274
1902 		 1718
874 		 1094
1198 		 1844
1304 		 1498
1552 		 682
1582 		 342
1780 		 1704
2100 		 242
2280 		 364
720 		 540
1460 		 524
878 		 1778
1076 		 1062
1570 		 1508
1906 		 342
2118 		 1120
128 		 504
156 		 960
1108 		 1314
1142 		 420
1416 		 1002
500 		 470
842 		 102
1132 		 260
1312 		 330
2102 		 1188
2288 		 558
938 		 902
1638 		 756
670 		 850
1122 		 1606
1886 		 634
1354 		 836
1422 		 1168
1510 		 1806
1910 		 872
1952 		 500
532 		 1918
1178 		 1118
1916 		 1164
2354 		 1482
848 		 1224
904 		 1300
1328 		 96
852 		 670
1064 		 776
1324 		 726
350 		 1884
378 		 138
566 		 586
2534 		 1202
236 		 1648
258 		 1488
984 		 1530
2278 		 1076
170 		 328
832 		 940
990 		 1664
1252 		 1620
2316 		 906
2576 		 586
994 		 236
1042 		 596
768 		 960
784 		 386
1026 		 1820
1912 		 1044
2188 		 1500
2258 		 668
1246 		 236
2134 		 1722
248 		 410
210 		 702
686 		 438
734 		 1584
1970 		 1602
2368 		 794
1018 		 1452
144 		 894
352 		 1274
642 		 1656
802 		 826
2230 		 1680
212 		 602
558 		 1370
1048 		 914
1338 		 602
1892 		 164
2284 		 118
132 		 1672
368 		 1546
2550 		 800
670 		 1268
1446 		 1498
2176 		 852
1726 		 646
2304 		 1880
228 		 1282
2472 		 1372
292 		 800
824 		 1378
598 		 1438
1416 		 1288
2586 		 932
424 		 1632
456 		 630
704 		 1424
1292 		 1046
2488 		 310
1220 		 1172
1972 		 594
380 		 556
140 		 1278
780 		 1684
1616 		 942
1834 		 516
2246 		 790
920 		 1828
560 		 296
1638 		 436
1736 		 724
2470 		 928
1404 		 708
1670 		 1772
2444 		 688
2504 		 134
766 		 698
1098 		 852
1232 		 1406
498 		 1766
1120         1035
